SSDA Sea & Sun Technology's Standard Data Acquisition software package rev. 228 28.06.2018;
C:\USERS\ZBPM\DESKTOP\SST_SDA\CONFIG\CTM1632.SPJ;
30.03.2022 13:03;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
                                                                              ;
StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2018;
;
001 CTM1632 001  P  Press  dbar -6.44386300000E+0001  8.84972000000E-0003  1.17030000000E-0010  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 ;
001 CTM1632 002  N   Temp    °C -2.37860000000E+0000  5.90807000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 ;
001 CTM1632 003  N  rCond digit  0.00000000000E+0000  1.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 ;
001 CTM1632 004 VO4 rawO2    mV -1.23972000000E-0001  1.00078000000E-0002  1.00800000000E+0003  1.00000000000E+0000  3.80000000000E-0001  9.48561000000E-0001 ;
001 CTM1632 005 N24  T_iS    °C -1.00136000000E+0001  9.99256000000E-0004 -1.94736000000E-0001  9.89081000000E-0001  0.00000000000E+0000  0.00000000000E+0000 ;
001 CTM1632 006 N24 Chl_A  µg/l -4.83376000000E-0003  7.69314000000E-0005 -7.40000000000E-0001  2.41104000000E+0001  0.00000000000E+0000  0.00000000000E+0000 ;
001 CTM1632 007  N  Vbatt  Volt  2.30431000000E-0002  1.62150000000E-0002  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 ;
;
C:\Users\zbpm\Desktop\Dane sonda 30.03.2022\dane2.SRD;
Lines :       1086;
;
    11.68,    0.46,    0.37,   3.565,   2.779,  210.07,  198.91,   94.89,   12.83,  -0.003,  -0.006,   0.003,  -0.022, 1419.63,2022-03-14,09:52:31;
    11.67,    0.46,    0.36,   3.565,   2.780,  210.06,  198.90,   94.89,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.64,2022-03-14,09:52:31;
    11.65,    0.49,    0.36,   3.565,   2.780,  210.05,  198.89,   94.88,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.64,2022-03-14,09:52:31;
    11.68,    0.50,    0.36,   3.564,   2.779,  210.05,  198.89,   94.88,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.63,2022-03-14,09:52:31;
    11.67,    0.50,    0.36,   3.564,   2.784,  209.98,  198.82,   94.85,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.63,2022-03-14,09:52:32;
    11.63,    0.49,    0.36,   3.564,   2.784,  209.96,  198.80,   94.84,   12.82,  -0.003,  -0.006,   0.003,  -0.023, 1419.63,2022-03-14,09:52:32;
    11.65,    0.49,    0.36,   3.566,   2.785,  209.96,  198.80,   94.84,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.64,2022-03-14,09:52:32;
    11.65,    0.48,    0.36,   3.567,   2.782,  209.98,  198.82,   94.85,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.64,2022-03-14,09:52:32;
    11.65,    0.47,    0.35,   3.570,   2.783,  209.98,  198.82,   94.85,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.66,2022-03-14,09:52:32;
    11.65,    0.49,    0.34,   3.573,   2.785,  210.00,  198.84,   94.86,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.67,2022-03-14,09:52:32;
    11.65,    0.50,    0.36,   3.577,   2.784,  210.00,  198.84,   94.86,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.69,2022-03-14,09:52:32;
    11.67,    0.51,    0.35,   3.581,   2.784,  210.38,  199.20,   95.03,   12.84,  -0.004,  -0.008,   0.003,  -0.022, 1419.71,2022-03-14,09:52:32;
    11.68,    0.51,    0.36,   3.582,   2.784,  210.38,  199.20,   95.03,   12.84,  -0.004,  -0.008,   0.003,  -0.022, 1419.72,2022-03-14,09:52:33;
    11.67,    0.52,    0.37,   3.584,   2.795,  210.06,  198.90,   94.89,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.72,2022-03-14,09:52:33;
    11.67,    0.52,    0.36,   3.585,   2.795,  210.06,  198.90,   94.89,   12.82,  -0.003,  -0.006,   0.003,  -0.022, 1419.73,2022-03-14,09:52:33;
    11.67,    0.54,    0.37,   3.586,   2.785,  210.12,  198.95,   94.92,   12.83,  -0.004,  -0.008,   0.003,  -0.022, 1419.73,2022-03-14,09:52:33;
    11.67,    0.55,    0.35,   3.587,   2.785,  210.12,  198.95,   94.92,   12.83,  -0.004,  -0.008,   0.003,  -0.022, 1419.74,2022-03-14,09:52:33;
    11.67,    0.55,    0.35,   3.589,   2.794,  210.10,  198.94,   94.91,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.75,2022-03-14,09:52:33;
    11.63,    0.53,    0.36,   3.590,   2.795,  210.10,  198.94,   94.91,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.75,2022-03-14,09:52:33;
    11.67,    0.51,    0.35,   3.590,   2.796,  210.09,  198.93,   94.90,   12.82,  -0.004,  -0.008,   0.003,  -0.022, 1419.75,2022-03-14,09:52:33;
    11.65,    0.50,    0.37,   3.589,   2.796,  210.23,  199.06,   94.97,   12.83,  -0.004,  -0.008,   0.003,  -0.022, 1419.75,2022-03-14,09:52:33;
    11.67,    0.52,    0.36,   3.587,   2.795,  210.22,  199.05,   94.96,   12.83,  -0.004,  -0.008,   0.003,  -0.022, 1419.74,2022-03-14,09:52:34;
    11.67,    0.55,    0.36,   3.584,   2.795,  210.19,  199.02,   94.95,   12.83,  -0.004,  -0.008,   0.003,  -0.022, 1419.72,2022-03-14,09:52:34;
    11.68,    0.56,    0.36,   3.582,   2.796,  210.18,  199.01,   94.94,   12.83,  -0.003,  -0.006,   0.003,  -0.022, 1419.71,2022-03-14,09:52:34;
    11.65,    0.53,    0.36,   3.580,   2.793,  210.32,  199.14,   95.01,   12.84,  -0.004,  -0.008,   0.003,  -0.022, 1419.70,2022-03-14,09:52:34;
    11.65,    0.48,    0.36,   3.579,   2.793,  210.32,  199.14,   95.01,   12.84,  -0.004,  -0.008,   0.003,  -0.022, 1419.70,2022-03-14,09:52:34;
    11.67,    0.44,    0.36,   3.576,   2.790,  209.93,  198.77,   94.83,   12.81,  -0.004,  -0.008,   0.003,  -0.022, 1419.69,2022-03-14,09:52:34;
    11.68,    0.40,    0.37,   3.571,   2.791,  209.93,  198.77,   94.83,   12.81,  -0.004,  -0.008,   0.003,  -0.022, 1419.66,2022-03-14,09:52:34;
    11.65,    0.39,    0.36,   3.565,   2.800,  209.82,  198.67,   94.78,   12.80,  -0.004,  -0.008,   0.003,  -0.022, 1419.64,2022-03-14,09:52:34;
    11.65,    0.38,    0.36,   3.558,   2.800,  209.82,  198.67,   94.78,   12.80,  -0.004,  -0.008,   0.003,  -0.022, 1419.61,2022-03-14,09:52:35;
    11.65,    0.36,    0.35,   3.551,   2.796,  209.92,  198.76,   94.83,   12.81,  -0.004,  -0.008,   0.003,  -0.022, 1419.57,2022-03-14,09:52:35;
    11.67,    0.37,    0.36,   3.542,   2.796,  210.17,  199.00,   94.94,   12.83,  -0.004,  -0.008,   0.003,  -0.022, 1419.53,2022-03-14,09:52:35;
    11.67,    0.44,    0.36,   3.540,   2.795,  210.17,  199.00,   94.94,   12.83,  -0.004,  -0.008,   0.003,  -0.022, 1419.52,2022-03-14,09:52:35;
